ROI,Behavior,Corr,p-value,nsamples
Left Crus II of cerebellar hemisphere,CBCL-aggr_behav_score,0.35866436118297573,0.015198480151984802,45
Left Crus II of cerebellar hemisphere,CBCL-anx_prob_score,-0.021469661177577353,0.8783121687831217,45
Left Crus II of cerebellar hemisphere,CBCL-anxious_score,-0.08584383733348792,0.5669433056694331,45
Left Crus II of cerebellar hemisphere,CBCL-attention_hyper_prob_score,0.39270681202867325,0.007799220077992201,45
Left Crus II of cerebellar hemisphere,CBCL-attention_prob_score,0.29673628500851595,0.047595240475952406,45
Left Crus II of cerebellar hemisphere,CBCL-conduct_prob_score,0.3023046127689273,0.0403959604039596,45
Left Crus II of cerebellar hemisphere,CBCL-depressed_score,0.03734374451688439,0.803919608039196,45
Left Crus II of cerebellar hemisphere,CBCL-depressive_prob_score,0.18311764806364353,0.22697730226977303,45
Left Crus II of cerebellar hemisphere,CBCL-externalizing_score,0.35220438969377243,0.0173982601739826,45
Left Crus II of cerebellar hemisphere,CBCL-internalizing_score,0.016760782456637834,0.9215078492150784,45
Left Crus II of cerebellar hemisphere,CBCL-obsessive_comp_prob_score,0.14170934046752717,0.34656534346565343,45
Left Crus II of cerebellar hemisphere,CBCL-oppo_def_prob_score,0.35761187581613363,0.014198580141985802,45
Left Crus II of cerebellar hemisphere,CBCL-rule_break_behav_score,0.28099836723474525,0.06419358064193581,45
Left Crus II of cerebellar hemisphere,CBCL-sluggish_cogn_tempo_score,-0.13056485920759206,0.38916108389161086,45
Left Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.25386471683266176,0.09619038096190381,45
Left Crus II of cerebellar hemisphere,CBCL-som_comp_score,0.03834585491476358,0.8017198280171983,45
Left Crus II of cerebellar hemisphere,CBCL-som_prob_score,0.08546241953389888,0.5667433256674332,45
Left Crus II of cerebellar hemisphere,CBCL-stress_prob_score,0.2715509876595998,0.0755924407559244,45
Left Crus II of cerebellar hemisphere,CBCL-thought_prob_score,0.1753594656307335,0.25717428257174285,45
Left Crus II of cerebellar hemisphere,CBCL-total_problems_score,0.30001651383327993,0.047595240475952406,45
Right Crus II of cerebellar hemisphere,CBCL-aggr_behav_score,0.2911541843225522,0.051594840515948405,45
Right Crus II of cerebellar hemisphere,CBCL-anx_prob_score,0.07321021109621098,0.6287371262873712,45
Right Crus II of cerebellar hemisphere,CBCL-anxious_score,-0.03641859765663124,0.8365163483651635,45
Right Crus II of cerebellar hemisphere,CBCL-attention_hyper_prob_score,0.26911246032594016,0.0791920807919208,45
Right Crus II of cerebellar hemisphere,CBCL-attention_prob_score,0.07039967554779895,0.6475352464753524,45
Right Crus II of cerebellar hemisphere,CBCL-conduct_prob_score,0.2711364067659716,0.07019298070192981,45
Right Crus II of cerebellar hemisphere,CBCL-depressed_score,0.025052548030212007,0.8833116688331167,45
Right Crus II of cerebellar hemisphere,CBCL-depressive_prob_score,0.06431679069539521,0.6833316668333167,45
Right Crus II of cerebellar hemisphere,CBCL-externalizing_score,0.3246440161711034,0.028397160283971604,45
Right Crus II of cerebellar hemisphere,CBCL-internalizing_score,0.07075302633869252,0.654934506549345,45
Right Crus II of cerebellar hemisphere,CBCL-obsessive_comp_prob_score,0.0988638872933077,0.5305469453054694,45
Right Crus II of cerebellar hemisphere,CBCL-oppo_def_prob_score,0.2807669052919226,0.058194180581941805,45
Right Crus II of cerebellar hemisphere,CBCL-rule_break_behav_score,0.3168776336955063,0.032996700329967,45
Right Crus II of cerebellar hemisphere,CBCL-sluggish_cogn_tempo_score,-0.22759891075704988,0.1277872212778722,45
Right Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.10805013307282964,0.48395160483951605,45
Right Crus II of cerebellar hemisphere,CBCL-som_comp_score,0.1367758839037166,0.38136186381361864,45
