ROI,Behavior,Corr,p-value,nsamples
Right Crus II of cerebellar hemisphere,CBCL-social_prob_score,-0.20430156738209967,0.5897410258974103,9
Right Crus II of cerebellar hemisphere,CBCL-thought_prob_score,-0.10215078369104984,0.7969203079692031,9
Right Crus II of cerebellar hemisphere,CBCL-anx_prob_score,-0.11715583722580122,0.7601239876012399,9
Right Crus II of cerebellar hemisphere,CBCL-internalizing_score,-0.20920685218893076,0.5821417858214178,9
Right Crus II of cerebellar hemisphere,CBCL-externalizing_score,-0.17573375583870182,0.6453354664533547,9
Right Crus II of cerebellar hemisphere,CBCL-total_problems_score,-0.20920685218893076,0.5889411058894111,9
Right Crus II of cerebellar hemisphere,CBCL-attention_prob_score,-0.5857791861290061,0.1045895410458954,9
Right Crus II of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",0.2290083031322631,0.43275672432756723,14
Right Crus II of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",0.12076147288491197,0.7713228677132287,9
Right Crus II of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",0.4419956960878639,0.11838816118388161,14
Right Crus II of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.29412803238560625,0.43855614438556145,9
Left Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.22132669799727464,0.5583441655834417,9
Left Crus II of cerebellar hemisphere,CBCL-thought_prob_score,0.06810052246069989,0.8645135486451355,9
Left Crus II of cerebellar hemisphere,CBCL-anx_prob_score,0.07531446678801507,0.8527147285271472,9
Left Crus II of cerebellar hemisphere,CBCL-internalizing_score,-0.10878756313824399,0.7873212678732127,9
Left Crus II of cerebellar hemisphere,CBCL-externalizing_score,-0.20083857810137354,0.6037396260373963,9
Left Crus II of cerebellar hemisphere,CBCL-total_problems_score,0.04184137043778616,0.9145085491450855,9
Left Crus II of cerebellar hemisphere,CBCL-attention_prob_score,0.08368274087557231,0.8213178682131786,9
Left Crus II of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",0.24247937978710213,0.39316068393160686,14
Left Crus II of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.2242713067862651,0.5657434256574343,9
Left Crus II of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",0.4198959112834707,0.12918708129187081,14
Left Crus II of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.37816461306720806,0.3073692630736926,9
Left Crus I of cerebellar hemisphere,CBCL-social_prob_score,0.34050261230349943,0.36336366363363665,9
Left Crus I of cerebellar hemisphere,CBCL-thought_prob_score,0.32347748168832446,0.40075992400759924,9
Left Crus I of cerebellar hemisphere,CBCL-anx_prob_score,0.3096261412396175,0.41255874412558746,9
Left Crus I of cerebellar hemisphere,CBCL-internalizing_score,0.20083857810137354,0.6033396660333966,9
Left Crus I of cerebellar hemisphere,CBCL-externalizing_score,0.17573375583870182,0.6501349865013498,9
Left Crus I of cerebellar hemisphere,CBCL-total_problems_score,0.2845213189769458,0.45935406459354067,9
Left Crus I of cerebellar hemisphere,CBCL-attention_prob_score,0.1422606594884729,0.7163283671632836,9
Left Crus I of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",0.4580166062645262,0.09379062093790622,14
Left Crus I of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",0.3967876966218536,0.28817118288171184,9
Left Crus I of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",0.5524946201098299,0.043995600439956005,14
Left Crus I of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",0.235302425908485,0.5323467653234677,9
Right Crus I of cerebellar hemisphere,CBCL-social_prob_score,0.2383518286124496,0.5391460853914608,9
Right Crus I of cerebellar hemisphere,CBCL-thought_prob_score,0.34901517761108697,0.36136386361363865,9
Right Crus I of cerebellar hemisphere,CBCL-anx_prob_score,0.32636268941473195,0.39216078392160786,9
Right Crus I of cerebellar hemisphere,CBCL-internalizing_score,0.16736548175114463,0.6717328267173283,9
Right Crus I of cerebellar hemisphere,CBCL-externalizing_score,0.01673654817511446,0.9741025897410259,9
Right Crus I of cerebellar hemisphere,CBCL-total_problems_score,0.24267994853915967,0.5315468453154685,9
Right Crus I of cerebellar hemisphere,CBCL-attention_prob_score,-0.07531446678801507,0.8551144885511449,9
Right Crus I of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",0.0987878954688194,0.7353264673532647,14
Right Crus I of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.13801311186847084,0.7341265873412659,9
Right Crus I of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",-0.030939698726150475,0.916108389161084,14
Right Crus I of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.1596695032950434,0.6815318468153184,9
Right Amygdala,CBCL-social_prob_score,0.13620104492139978,0.7423257674232576,9
Right Amygdala,CBCL-thought_prob_score,0.3064523510731495,0.41475852414758524,9
Right Amygdala,CBCL-anx_prob_score,0.27615304488938863,0.46195380461953806,9
Right Amygdala,CBCL-internalizing_score,0.20083857810137354,0.6081391860813918,9
Right Amygdala,CBCL-externalizing_score,-0.36820405985251814,0.34756524347565243,9
Right Amygdala,CBCL-total_problems_score,0.1338923854009157,0.720927907209279,9
Right Amygdala,CBCL-attention_prob_score,0.12552411131335847,0.7641235876412359,9
Right Amygdala,"V24 ADOS_Derived,restricted_repetitive_behavior_total",0.21553722647742413,0.4617538246175382,14
Right Amygdala,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.06900655593423542,0.8843115688431157,9
Right Amygdala,"V24 ADOS_Derived,social_affect_total",0.567964469472905,0.039396060393960604,14
Right Amygdala,"V36 ADOS_Derived,social_affect_total",0.042018290340800894,0.9193080691930807,9
Right Posterior cingulate gyrus,CBCL-social_prob_score,-0.1191759143062248,0.7763223677632237,9
Right Posterior cingulate gyrus,CBCL-thought_prob_score,-0.02553769592276246,0.9681031896810319,9
Right Posterior cingulate gyrus,CBCL-anx_prob_score,-0.18410202992625907,0.6495350464953504,9
Right Posterior cingulate gyrus,CBCL-internalizing_score,-0.3849406080276326,0.3107689231076892,9
Right Posterior cingulate gyrus,CBCL-externalizing_score,-0.2928895930645031,0.45935406459354067,9
